Country,CrudeBirthRate,CrudeDeathRate
Afghanistan,34.1,7.7
Albania,12.9,9.4
Andorra,8.9,8.4
Angola,44.1,13.9
Antigua and Barbuda,16.5,6.8
Argentina,16.8,7.6
Armenia,13.7,12.6
Australia,13.2,6.4
Bahamas,15.3,6.1
Bangladesh,20,5.7
Belarus,11,13.5
Belgium,11.7,9.9
Benin,36.4,9.6
Brunei Darussalam,15.5,3.6
Bulgaria,9.6,14.2
Burkina Faso,40.9,9.5
Burundi,44.7,11.1
Cabo Verde,20.1,5.2
Cambodia,25.7,5.7
Central African Republic,34.2,14
Chad,45.9,13.6
China,13.3,7.2
Costa Rica,15.1,4.4
Cuba,9.5,8.5
Democratic People's Republic of Korea,14.4,9.2
Denmark,11.3,9.6
Dominica,15.6,7.2
Dominican Republic,20.8,5.9
Ecuador,20.8,5.3
Egypt,23.2,6.4
Eritrea,36.7,6.3
Eswatini,29.9,11.8
Ethiopia,33,7.2
Fiji,20.4,6.9
France,12.3,8.7
Gabon,31.9,9
Ghana,30.9,8.1
Greece,9.7,9.7
Guinea-Bissau,37.5,12.3
Guyana,20.3,7.9
Honduras,25.8,4.5
Hungary,9.9,13
India,20.4,7.9
Indonesia,18.8,6.2
Iran (Islamic Republic of),18.8,5.1
Israel,20.3,5.1
Italy,9.2,9.5
Jordan,27,3.7
Kuwait,20.6,1.9
Kyrgyzstan,27.1,6.6
Lebanon,13.4,4.4
Luxembourg,11.6,6.8
Madagascar,34.7,7
Malawi,39.8,9
Maldives,22,3.5
Malta,9.2,7.5
Marshall Islands,27.2,6.6
Mauritius,11.5,7.4
Monaco,6.8,8.7
Morocco,22.7,6.4
Mozambique,38.9,11.8
Namibia,26,5.7
Netherlands,10.7,8.3
Nicaragua,22.7,4.8
Nigeria,41.2,11.9
Pakistan,25.2,7.3
Peru,19.7,4.4
Philippines,24.4,5.9
Poland,10.8,10
Qatar,11,1.3
Republic of Moldova,12.1,12.4
Russian Federation,11.8,14.8
Saint Lucia,15.4,7
Samoa,26.2,5.2
Saudi Arabia,19.4,3.2
Singapore,9.9,4.5
Slovakia,10.7,9.4
Solomon Islands,30.8,5.4
Somalia,43.8,12.7
South Africa,20.9,11.1
Spain,10.4,8.2
Sri Lanka,17.9,6.6
Sudan,33.5,7.8
Suriname,17.7,4.6
The former Yugoslav republic of Macedonia,10.7,9.4
Togo,36.4,9.6
Tonga,25.5,6.7
Trinidad and Tobago,14.5,9.6
Tunisia,17.2,5.5
Turkey,16.8,5.7
Turkmenistan,21.3,8.8
Tuvalu,23.6,8.7
Ukraine,10.8,15.1
United Arab Emirates,14.5,1.1
United States of America,13.2,8.4
Uruguay,14.5,9.1
Uzbekistan,21.5,6.4
Venezuela (Bolivarian Republic of),19.8,4.8
Yemen,31.1,6.7
Zimbabwe,31.3,9.8
